City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,16.69,45,50,2.72,RU,1689696792
1,glace bay,46.1969,-59.957,27.34,84,75,9.26,CA,1689696792
2,invercargill,-46.4,168.35,9.03,77,35,4.46,NZ,1689696792
3,klintsy,52.7602,32.2393,18.62,73,10,6.56,RU,1689696792
4,utrik,11.2278,169.8474,27.88,81,62,5.85,MH,1689696792
5,adamstown,-25.066,-130.1015,21.03,79,89,3.75,PN,1689696793
6,blackmans bay,-43.0167,147.3167,7.07,69,33,6.52,AU,1689696793
7,karatuzskoye,53.6072,92.8667,16.53,79,1,1.52,RU,1689696793
8,waitangi,-43.9535,-176.5597,11.01,83,73,3.13,NZ,1689696793
9,college,64.8569,-147.8028,16.44,87,75,1.54,US,1689696794
10,shalqar,47.8333,59.6,24.88,37,60,5.99,KZ,1689696794
11,beitbridge,-22.2167,30.0,20.66,29,0,2.48,ZW,1689696794
12,nar'yan-mar,67.6713,53.087,20.12,73,96,0.86,RU,1689696794
13,gryfow slaski,51.0308,15.4202,25.42,42,98,3.31,PL,1689696794
14,qamdo,31.1667,97.2333,6.09,76,68,1.07,CN,1689696795
15,hawaiian paradise park,19.5933,-154.9731,24.73,90,100,4.12,US,1689696795
16,lobujya,27.95,86.8167,3.71,97,100,1.65,NP,1689696795
17,edinburgh of the seven seas,-37.0676,-12.3116,13.98,95,100,12.65,SH,1689696795
18,vorkuta,67.5,64.0,19.23,77,76,2.46,RU,1689696796
19,albany,42.6001,-73.9662,28.78,70,31,0.89,US,1689696590
20,polyarnyy,69.1989,33.4478,17.9,67,100,1.89,RU,1689696796
21,labasa,-16.4167,179.3833,22.54,88,91,4.86,FJ,1689696796
22,afaahiti,-17.75,-149.2833,23.93,73,40,6.34,PF,1689696796
23,port elizabeth,-33.918,25.5701,17.28,82,0,7.72,ZA,1689696797
24,yellowknife,62.456,-114.3525,20.4,52,5,3.77,CA,1689696601
25,nagqu,31.5,92.0,4.62,91,70,1.96,CN,1689696797
26,hassi messaoud,31.6804,6.0729,42.92,8,0,6.17,DZ,1689696797
27,bentiu,9.2333,29.8333,26.54,70,94,3.63,SS,1689696798
28,olonkinbyen,70.9221,-8.7187,4.54,92,49,8.55,SJ,1689696798
29,port-aux-francais,-49.35,70.2167,5.16,85,82,16.73,TF,1689696798
30,minas de marcona,-15.2119,-75.1103,16.22,63,34,5.12,PE,1689696798
31,puerto natales,-51.7236,-72.4875,2.25,60,75,1.54,CL,1689696799
32,lebu,-37.6167,-73.65,10.94,58,100,4.13,CL,1689696799
33,progreso,21.2833,-89.6667,33.95,65,7,4.57,MX,1689696799
34,belmonte,-15.8631,-38.8828,26.46,58,6,3.27,BR,1689696799
35,grytviken,-54.2811,-36.5092,-4.76,80,20,4.23,GS,1689696800
